Source Keyword,Keyword,Avg Monthly Searches,Competition,Low CPC (USD),High CPC (USD),Sentiment Score,Sentiment Confidence,Intent,semantic_score,tfidf_score,keyword_found_on_site,content_match_score,relevance_bucket,volume_score,cpc_score,competition_score,sentiment_score_scaled,keyword_score,Cluster
MONOPOLY Slots,monopoly slot machine app,50,LOW,388.79,4822.25,4,0.4766,navigational,7.56,2.07,0,6.46,,0.014814814814814814,1.902472876109488,20.0,10.0,6.22,Cluster 7
MONOPOLY Slots,monopoly slots app,50,LOW,388.79,4822.25,4,0.4895,navigational,7.35,2.17,0,6.31,,0.014814814814814814,1.902472876109488,20.0,10.0,6.21,Cluster 7
Call of Dragon,call of dragons app,10,LOW,647.23,2622.22,4,0.5126,navigational,6.57,2.44,0,5.74,,0.002962962962962963,1.0345175851919375,20.0,10.0,5.89,Cluster 8
Coin Master,coin master app,1600,LOW,15.41,1131.27,4,0.4944,navigational,6.41,3.54,0,5.84,,0.47407407407407404,0.4463083603206761,20.0,10.0,5.86,Cluster 5
Texas HoldEm Poker,texas holdem poker sites for real money,20,LOW,338.57,1941.4,4,0.452,navigational,6.74,0.75,0,5.54,,0.005925925925925926,0.7659206473490509,20.0,10.0,5.79,Cluster 2
Texas HoldEm Poker,texas holdem poker sites,70,LOW,274.04,1383.05,4,0.4919,navigational,7.37,0.89,0,6.07,,0.02074074074074074,0.5456405435850955,20.0,10.0,5.78,Cluster 2
Texas HoldEm Poker,texas hold em sites,110,LOW,199.15,1189.75,4,0.4905,navigational,7.25,1.87,0,6.17,,0.03259259259259259,0.4693798754422237,20.0,10.0,5.77,Cluster 2
Coin Master,coin master free spin app,1300,LOW,66.87,471.01,4,0.4793,navigational,6.49,3.53,0,5.9,,0.3851851851851852,0.18582274858755352,20.0,10.0,5.76,Cluster 5
Texas HoldEm Poker,texas holdem sites,110,LOW,199.15,1189.75,4,0.5008,navigational,7.28,0.76,0,5.98,,0.03259259259259259,0.4693798754422237,20.0,10.0,5.75,Cluster 2
Texas HoldEm Poker,texas holdem website,110,LOW,199.15,1189.75,4,0.4825,navigational,7.09,0.81,0,5.83,,0.03259259259259259,0.4693798754422237,20.0,10.0,5.73,Cluster 2
Pop Slots Casino,pop slots casino app,10,LOW,0.0,0.0,4,0.5045,navigational,8.02,3.41,0,7.1,,0.002962962962962963,0.0,20.0,10.0,5.71,Cluster 7
Coin Master,coin master spin app,40,LOW,55.22,624.85,4,0.4909,navigational,7.14,3.11,0,6.33,,0.011851851851851851,0.24651566729991467,20.0,10.0,5.71,Cluster 5
Coin Master,coin master rewards app,90,LOW,72.79,695.66,4,0.4976,navigational,6.54,3.73,0,5.98,,0.026666666666666665,0.2744516109688063,20.0,10.0,5.69,Cluster 5
Pop Slots Casino,pop slots google play,10,LOW,0.0,0.0,4,0.4719,navigational,7.81,2.49,0,6.75,,0.002962962962962963,0.0,20.0,10.0,5.68,Cluster 7
Coin Master,google play coin master,20,LOW,275.32,1534.62,4,0.4685,navigational,5.58,2.48,0,4.96,,0.005925925925925926,0.6054379024594624,20.0,10.0,5.68,Cluster 5
Pop Slots Casino,pop slots app store,10,LOW,0.0,0.0,4,0.5058,navigational,7.56,3.34,0,6.72,,0.002962962962962963,0.0,20.0,10.0,5.67,Cluster 7
Castle Clash,castle clash app,10,LOW,0.0,0.0,4,0.525,navigational,7.72,2.37,0,6.65,,0.002962962962962963,0.0,20.0,10.0,5.67,Cluster 8
Pop Slots Casino,pop slots sign in,10,LOW,0.0,0.0,4,0.5068,navigational,7.47,3.17,0,6.61,,0.002962962962962963,0.0,20.0,10.0,5.66,Cluster 7
Coin Master,coin master game app,30,LOW,0.0,0.0,4,0.4938,navigational,7.18,4.1,0,6.56,,0.008888888888888889,0.0,20.0,10.0,5.66,Cluster 5
Coin Master,coin master google play,30,LOW,68.51,1003.67,4,0.4726,navigational,5.94,2.48,0,5.25,,0.008888888888888889,0.39596763991182743,20.0,10.0,5.65,Cluster 5
